scheme_code,scheme_name,isin,gf_nav,gf_nav_date
120704,Aditya Birla Sun Life MIP - Direct Plan - Growth,INF209K01XB7,46.7762,31-Jan-2018
119640,Aditya Birla Sun Life MIP - Direct Plan - Monthly Dividend,INF209K01R21,13.4574,31-Jan-2018
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,INF209K01694,45.2981,31-Jan-2018
100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,INF209K01702,11.9984,31-Jan-2018
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,INF209K01728,33.1911,31-Jan-2018
120706,Aditya Birla Sun Life MIP II - Savings 5 Plan - Growth / Payment - Direct Plan,INF209K01XE1,34.0700,31-Jan-2018
120549,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Direct Plan,INF209K01R39,13.9507,31-Jan-2018
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,INF209K01736,13.1401,31-Jan-2018
103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,INF209K01AX9,12.8062,31-Jan-2018
120572,Aditya Birla Sun Life Monthly Income - Growth - Direct Plan,INF209K01YH2,68.7578,31-Jan-2018
103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,INF209K01AZ4,66.3249,31-Jan-2018
120574,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Direct Plan,INF209K01S20,13.1808,31-Jan-2018
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,INF209K01AY7,12.3796,31-Jan-2018
120573,Aditya Birla Sun Life Monthly Income- Dividend - Direct Plan,INF209KA1LG5,14.0140,31-Jan-2018
118302,Canara Robeco InDiGo Fund - Direct Plan - Growth,INF760K01FJ9,15.4338,31-Jan-2018
118303,Canara Robeco InDiGo Fund - Direct Plan - Quarterly Dividend,INF760K01FK7,11.0018,31-Jan-2018
113101,Canara Robeco InDiGo Fund - Regular Plan - Growth,INF760K01AJ0,14.9147,31-Jan-2018
113100,Canara Robeco InDiGo Fund - Regular Plan - Quarterly Dividend,INF760K01AK8,10.2574,31-Jan-2018
118312,Canara Robeco Short Term Fund- Direct Plan - Growth,INF760K01GH1,19.6293,31-Jan-2018
118313,Canara Robeco Short Term Fund- Direct Plan - Monthly Dividend,INF760K01GI9,10.1271,31-Jan-2018
118314,Canara Robeco Short Term Fund- Direct Plan - Weekly Dividend,,10.1200,31-Jan-2018
111883,Canara Robeco Short Term Fund- Regular Plan - Growth,INF760K01720,19.2056,31-Jan-2018
111882,Canara Robeco Short Term Fund- Regular Plan - Monthly Dividend,INF760K01704,10.1265,31-Jan-2018
112081,Canara Robeco Short Term Fund- Regular Plan - Weekly Dividend,,10.1200,31-Jan-2018
132851,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,INF179KA1D58,13.2488,31-Jan-2018
