scheme_name,trans_date,amount,units,unit_price,latest_nav,latest_nav_date,gf_nav,new_purch_nav,ltcg,stcg,cumil_ltcg,cumil_units,current_amt,perc_gain
DSP Small Cap Fund-Direct Plan-Growth,05-Jan-2017,60000.0,1141.77,52.55,98.222,17-Jun-2021,70.163,70.163,32036.92,0.0,32036.92,1141.77,112146.93,86.91
DSP Small Cap Fund-Direct Plan-Growth,10-Jan-2017,100000.0,1895.842,52.747,98.222,17-Jun-2021,70.163,70.163,53195.43,0.0,85232.36,3037.61,186213.39,86.21
DSP Small Cap Fund-Direct Plan-Growth,12-Jan-2017,100000.0,1877.511,53.262,98.222,17-Jun-2021,70.163,70.163,52681.08,0.0,137913.44,4915.12,184412.89,84.41
DSP Small Cap Fund-Direct Plan-Growth,13-Jan-2017,100000.0,1880.795,53.169,98.222,17-Jun-2021,70.163,70.163,52773.23,0.0,190686.66,6795.92,184735.45,84.74
DSP Small Cap Fund-Direct Plan-Growth,16-Jan-2017,100000.0,1875.891,53.308,98.222,17-Jun-2021,70.163,70.163,52635.63,0.0,243322.29,8671.81,184253.77,84.25
DSP Small Cap Fund-Direct Plan-Growth,19-Jan-2017,100000.0,1858.84,53.797,98.222,17-Jun-2021,70.163,70.163,52157.19,0.0,295479.48,10530.65,182578.98,82.58
DSP Small Cap Fund-Direct Plan-Growth,31-Dec-2020,199990.0,2666.0,75.015,98.222,17-Jun-2021,70.163,75.015,0.0,61869.86,295479.48,13196.65,261859.85,30.94
Franklin India Flexi Cap Fund-Direct-Growth,23-Oct-2015,10000.0,21.696,460.9091,903.5355,17-Jun-2021,637.612,637.612,5769.48,0.0,5769.48,21.7,19603.11,96.03
Franklin India Flexi Cap Fund-Direct-Growth,10-Dec-2015,15000.0,34.348,436.7099,903.5355,17-Jun-2021,637.612,637.612,9133.94,0.0,14903.42,56.04,31034.64,106.9
Franklin India Flexi Cap Fund-Direct-Growth,11-Jan-2016,15000.0,34.814,430.8631,903.5355,17-Jun-2021,637.612,637.612,9257.86,0.0,24161.28,90.86,31455.68,109.7
Franklin India Flexi Cap Fund-Direct-Growth,10-Feb-2016,15000.0,36.322,412.9762,903.5355,17-Jun-2021,637.612,637.612,9658.87,0.0,33820.15,127.18,32818.22,118.79
Franklin India Flexi Cap Fund-Direct-Growth,10-Mar-2016,15000.0,35.321,424.6747,903.5355,17-Jun-2021,637.612,637.612,9392.68,0.0,43212.83,162.5,31913.78,112.76
Franklin India Flexi Cap Fund-Direct-Growth,11-Apr-2016,15000.0,33.874,442.817,903.5355,17-Jun-2021,637.612,637.612,9007.89,0.0,52220.73,196.38,30606.36,104.04
Franklin India Flexi Cap Fund-Direct-Growth,10-May-2016,15000.0,32.902,455.8934,903.5355,17-Jun-2021,637.612,637.612,8749.41,0.0,60970.14,229.28,29728.13,98.19
Franklin India Flexi Cap Fund-Direct-Growth,10-Jun-2016,15000.0,31.956,469.4012,903.5355,17-Jun-2021,637.612,637.612,8497.85,0.0,69467.99,261.23,28873.38,92.49
Franklin India Flexi Cap Fund-Direct-Growth,11-Jul-2016,15000.0,30.632,489.6918,903.5355,17-Jun-2021,637.612,637.612,8145.77,0.0,77613.76,291.86,27677.1,84.51
